country_or_territory,zone,region,subregion,life_expectancy,fertility_rate,num_colors,primary_color,secondary_color,most_ranked_color,currency_primary,currency_secondary,languages_primary,languages_secondary,religion_primary,religion_secondary,pop2023,density,hdiTier,area,landAreaKm,growthRate,hdi2021,densityMi,country_or_territory_status
Dominica,NW,Americas,Caribbean,75,1,5,forestgreen,gold,white,Eastern Caribbean dollar,Eastern Caribbean dollar,English,English,Christianity,Folk religions,73040.0,97.3867,High,751.0,750.0,0.00417,0.72,252.2315,Developing
Dominican Republic,NW,Americas,Caribbean,70,2,3,crimson,midnightblue,white,Dominican peso,Dominican peso,Spanish,Spanish,Christianity,Christian,11332972.0,234.5885,High,48671.0,48310.0,0.00928,0.767,607.5843,Developing
Ecuador,SW,Americas,South America,70,2,3,gold,crimson,crimson,United States dollar,United States dollar,Spanish,Spanish,Christianity,Christian,18190484.0,73.2424,High,276841.0,248360.0,0.01053,0.74,189.6978,Developing
Egypt,NE,Africa,Northern Africa,70,2,3,black,crimson,white,Egyptian pound,Egyptian pound,Arabic,Arabic,Religion in Egypt,Religion in Egypt,112716598.0,113.2318,High,1002450.0,995450.0,0.01556,0.731,293.2704,Developing
El Salvador,NW,Americas,Central America,70,1,2,teal,white,white,United States dollar,United States dollar,Spanish,Spanish,Christianity,Christian,6364943.0,307.1884,Medium,21041.0,20720.0,0.00451,0.675,795.6179,Developing
Equatorial Guinea,NE,Africa,Middle Africa,60,4,4,crimson,forestgreen,white,Central African CFA franc,Central African CFA franc,French,Spanish,Christianity,Islam,1714671.0,61.1291,Medium,28051.0,28050.0,0.02374,0.596,158.3243,Developing
Eritrea,NE,Africa,Eastern Africa,65,3,4,crimson,forestgreen,crimson,Eritrean nakfa,Eritrean nakfa,English,Arabic,religion in Eritrea,religion in Eritrea,3748901.0,30.9722,Low,117600.0,121040.8,0.01761,0.492,80.218,Developing
Estonia,NE,Europe,Northern Europe,80,1,3,white,black,white,Euro,Euro,Estonian,Estonian,Christianity,Christianity,1322765.0,30.9419,Very High,45227.0,42750.0,-0.00249,0.89,80.1394,Developed
Eswatini,SE,Africa,Southern Africa,60,2,5,steelblue,firebrick,white,South African rand,Swazi lilangeni,English,Swazi,Christianity,Christian,1210822.0,70.3966,Medium,17364.0,17200.0,0.00762,0.597,182.3273,Developing
Ethiopia,NE,Africa,Eastern Africa,65,4,4,forestgreen,crimson,crimson,Ethiopian birr,Ethiopian birr,Amharic,Amharic,Christianity,Islam,126527060.0,112.1126,Low,1104300.0,1128571.3,0.02551,0.498,290.3716,Developing
Falkland Islands,SW,Americas,South America,0,0,3,midnightblue,white,white,Falkland Islands pound,Falkland Islands pound,English,English,Other,Other,3791.0,0.3114,Other,12173.0,12173.0,0.00291,0.0,0.8066,Developing
Faroe Islands,NW,Europe,Northern Europe,85,2,3,white,crimson,white,Danish krone,Faroese krona,Danish,Faroese,Christianity,Church of the Faroe Islands,53270.0,38.9971,Other,1393.0,1366.0,0.00339,0.0,101.0024,Developing
Fiji,NE,Oceania,Melanesia,65,2,4,cornflowerblue,crimson,white,Fijian dollar,Fijian dollar,English,Fijian,Christianity,Islam,936375.0,51.2521,High,18272.0,18270.0,0.00711,0.73,132.7428,Developing
Finland,NE,Europe,Northern Europe,80,1,2,white,midnightblue,white,Euro,Euro,Swedish,Finnish,Christianity,Christian,5545475.0,18.2453,Very High,338424.0,303940.0,0.00085,0.94,47.2553,Developed
France,NE,Europe,Western Europe,80,1,3,crimson,white,white,Euro,Euro,French,French,Christianity,Islam,64756584.0,118.2646,Very High,551695.0,547557.0,0.00201,0.903,306.3052,Developed
French Guiana,NW,Americas,South America,0,0,2,forestgreen,gold,gold,Euro,Euro,French,French,Other,Other,312155.0,3.7369,Other,83534.0,83534.0,0.02495,0.0,9.6785,Developing
French Polynesia,NE,Oceania,Polynesia,80,1,2,crimson,white,white,CFP franc,CFP franc,French,French,Other,Other,308872.0,88.9865,Other,4167.0,3471.0,0.00847,0.0,230.4749,Developing
French Southern and Antarctic Lands,SE,Antarctic,Other,0,0,2,darkblue,white,white,Euro,Euro,French,French,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Gabon,SE,Africa,Middle Africa,65,3,3,gold,teal,gold,Central African CFA franc,Central African CFA franc,French,French,Christianity,Islam,2436566.0,9.4561,High,267668.0,257670.0,0.01991,0.706,24.4914,Developing
Gambia,NW,Africa,Western Africa,60,4,4,darkolivegreen,crimson,white,dalasi,dalasi,English,English,Christianity,Islam,2773168.0,274.0285,Low,10689.0,10120.0,0.02483,0.5,709.7337,Developing
Georgia,NE,Asia,Western Asia,70,1,2,white,red,white,lari,lari,Georgian,Georgian,Other,Other,3728282.0,53.6521,Very High,69700.0,69490.0,-0.0043,0.802,138.9588,Developed
Germany,NE,Europe,Western Europe,80,1,3,red,black,gold,Euro,Euro,German,German,Other,Other,83294633.0,238.4002,Very High,357114.0,349390.0,-0.0009,0.942,617.4564,Developed
Ghana,NW,Africa,Western Africa,65,3,3,crimson,forestgreen,crimson,Ghanaian cedi,Ghanaian cedi,English,English,Christianity,Islam,34121985.0,149.965,Medium,238533.0,227533.0,0.0193,0.632,388.4093,Developing
Gibraltar,NW,Europe,Southern Europe,80,1,2,white,red,white,Gibraltar pound,Gibraltar pound,English,English,Other,Other,32688.000000000004,4807.0588,Other,6.8,6.8,0.0012,0.0,12450.2824,Developing
Greece,NE,Europe,Southern Europe,80,1,2,darkcyan,white,white,Euro,Euro,Greek,Greek,Islam,Christian,10341277.0,80.2271,Very High,131990.0,128900.0,-0.00421,0.887,207.7883,Developed
Greenland,NW,Americas,North America,70,2,2,crimson,white,white,krone,krone,Greenlandic,Greenlandic,Christianity,Church of Greenland,56643.0,0.138,Other,2166086.0,410450.0,0.00314,0.0,0.3574,Developing
Grenada,NW,Americas,Caribbean,75,2,3,crimson,gold,crimson,Eastern Caribbean dollar,Eastern Caribbean dollar,English,English,Christianity,Christian,126183.0,371.1265,High,344.0,340.0,0.00594,0.795,961.2176,Developing
Guadeloupe,NW,Americas,Caribbean,0,0,3,black,darkblue,gold,Euro,Euro,French,French,Other,Other,395839.0,243.1443,Other,1628.0,1628.0,0.00022,0.0,629.7439,Developing
Guam,NE,Oceania,Micronesia,75,2,2,midnightblue,crimson,crimson,United States dollar,United States dollar,English,Spanish,Christianity,Buddhism,172952.0,320.2815,Other,549.0,540.0,0.00686,0.0,829.529,Developing
Guatemala,NW,Americas,Central America,70,2,2,steelblue,white,white,Guatemalan quetzal,Guatemalan quetzal,Spanish,Spanish,Christianity,Christian,18092026.0,168.8319,Medium,108889.0,107160.0,0.01391,0.627,437.2746,Developing
Guernsey,NW,Europe,Northern Europe,0,0,3,white,crimson,white,British pound,Guernsey pound,English,French,Other,Other,63544.0,1008.6349,Other,78.0,63.0,0.00384,0.0,2612.3644,Developing
Guinea,NW,Africa,Western Africa,60,4,3,crimson,teal,crimson,Guinean franc,Guinean franc,French,French,Christianity,Islam,14190612.0,57.7511,Low,245857.0,245720.0,0.0239,0.465,149.5755,Developing
Guinea-Bissau,NW,Africa,Western Africa,60,4,3,seagreen,gold,crimson,West African CFA franc,West African CFA franc,Portuguese,Upper Guinea Creole,Christianity,Islam,2150842.0,76.488,Other,36125.0,28120.0,0.0215,0.483,198.1039,Developing
Guyana,NW,Americas,South America,70,2,4,seagreen,crimson,white,Guyanese dollar,Guyanese dollar,English,English,Christianity,Islam,813834.0,4.1343,High,214969.0,196850.0,0.00632,0.714,10.7078,Developing
